,comprimento de onda,cor
0,462.0472250198366,azul
1,461.4266351490068,azul
2,462.1950222068893,azul
3,463.47418231527087,azul
4,464.031143988781,azul
5,480.2992871804809,azul
6,465.4937454247863,azul
7,469.0038344694887,azul
8,469.51806517911854,azul
9,466.9932316909058,azul
10,467.8064274000876,azul
11,468.4905051375393,azul
12,468.3115999704927,azul
13,479.28872743803265,azul
14,476.346575663568,azul
15,472.2626491958436,azul
16,471.57884374906445,azul
17,477.68313216168576,azul
18,475.12785194531045,azul
19,473.8982418412924,azul
20,475.1928589535882,azul
21,475.94766467289935,azul
22,482.26330613917037,azul
23,477.57150508958944,azul
24,478.9909128022624,azul
25,476.4910210846398,azul
26,478.1682853004764,azul
27,477.81416400579,azul
28,478.88472249482214,azul
29,486.748362556982,azul
30,487.9425993662411,azul
31,484.00626301773497,azul
32,484.85801190122345,azul
33,483.4182834766261,azul
34,490.2452965729741,azul
35,484.4247510711207,azul
36,486.9685085027686,azul
37,487.31874532948854,azul
38,487.55962530108945,azul
39,486.23323816573634,azul
40,489.5704831024562,azul
41,493.09258751253543,azul
42,492.21947243176857,azul
43,489.7869134529794,azul
44,496.23865600366395,azul
45,493.967492682643,azul
46,493.9311485843236,azul
47,491.1000960254852,azul
48,498.8018517639373,azul
49,493.4816526264089,azul
50,493.7083726372213,azul
51,496.19705780559383,azul
52,495.8624683644116,azul
53,495.5044782480782,azul
54,500.75897613497443,azul
55,496.5203053659953,azul
56,497.35287181846405,azul
57,500.4753390001004,azul
58,499.8466851436237,azul
59,498.76885319950264,azul
60,499.6488432023929,azul
61,500.20738857007245,azul
62,502.4490274968461,azul
63,503.4915189208476,azul
64,511.32533621540813,azul
65,505.0897126757584,azul
66,505.3638499270995,azul
67,511.43325982544735,azul
68,511.96945263494524,azul
69,505.95109245707664,azul
70,509.17308565833616,azul
71,516.3758076013347,azul
72,507.81227984762467,azul
73,511.4665248026323,azul
74,513.1349020985891,azul
75,517.2720373549498,azul
76,515.4167492426382,azul
77,511.9421877520108,azul
78,510.9663641564795,azul
79,511.7164628951396,azul
80,512.3020088529285,azul
81,515.5768288236055,azul
82,515.0186251978663,azul
83,514.5858892347475,azul
84,520.8653328353539,azul
85,520.70214037636,azul
86,520.192417562736,azul
87,522.3342045320617,azul
88,519.0301321475426,azul
89,522.2823686366635,azul
90,521.2504162095522,azul
91,522.2998339820624,azul
92,521.1619000642453,azul
93,523.5167692750005,azul
94,523.0736891316711,azul
95,524.3801082144639,azul
96,524.710858934497,azul
97,525.4487914406329,azul
98,531.5033979569693,azul
99,525.5850016121764,azul
100,525.4829253597287,azul
101,527.843551540629,azul
102,528.203856049868,azul
103,529.2926925851208,azul
104,528.1593763412574,azul
105,531.2076011466344,azul
106,542.2834523765468,azul
107,530.6037074365914,azul
108,531.2662038310098,azul
109,540.9529873503666,azul
110,535.5422778261407,azul
111,535.2065919887075,azul
112,534.6082347910767,azul
113,536.874476197089,azul
114,536.5640484590848,azul
115,535.4122499446305,azul
116,536.8379406322074,azul
117,541.7132991740062,azul
118,537.6687741933591,azul
119,544.785555926475,azul
120,541.0524891102613,azul
121,539.1000180299023,azul
122,541.0862119843674,azul
123,540.4791280719915,verde
124,541.4184234166286,verde
125,542.2526767878662,verde
126,542.8562156704994,verde
127,549.4144499388435,verde
128,550.7118514846643,verde
129,545.0752112126745,verde
130,546.4889978916507,verde
131,547.4912089438923,verde
132,551.5500030955118,verde
133,547.9159658529402,verde
134,548.1128588151524,verde
135,550.0282600504705,verde
136,555.8215298960813,verde
137,552.2111374478142,verde
138,551.7462158780614,verde
139,552.3608654526148,verde
140,552.566607689612,verde
141,553.2576434690633,verde
142,554.3688714349124,verde
143,556.4697180759566,verde
144,558.8281826499579,verde
145,554.833209694099,verde
146,559.3588857296734,verde
147,560.4727497214485,verde
148,557.5208268124386,verde
149,569.9545266410216,verde
150,561.3618442408068,verde
151,565.3381903915854,verde
152,560.1353928632227,verde
153,560.1092400708745,verde
154,564.310966280907,verde
155,570.7181628030445,verde
156,561.9792999386705,verde
157,569.8904601196809,verde
158,567.1288800437059,verde
159,573.2004221111184,verde
160,565.4770453905296,verde
161,565.7411347267789,verde
162,566.9984845234148,verde
163,567.4540277975296,verde
164,569.1635795959053,verde
165,568.210255308608,verde
166,572.4603369168476,verde
167,569.5535976262389,verde
168,572.2864534712186,verde
169,572.6864497269283,verde
170,571.8578519026171,verde
171,573.653913734114,verde
172,574.235020172128,verde
173,577.9401722825681,verde
174,573.7262799538557,verde
175,578.0629025681045,verde
176,575.8370222997912,verde
177,578.8710787138996,verde
178,579.3154819692479,verde
179,577.1060277473517,verde
180,581.3972363143595,verde
181,579.4861983172117,verde
182,581.283143155301,verde
183,583.6414850152204,verde
184,580.7899165442848,verde
185,581.7158639530859,verde
186,581.9411944098532,verde
187,582.6502900798486,verde
188,591.2021367850339,verde
189,594.1385983722269,verde
190,584.5814002845369,verde
191,585.423964385365,verde
192,585.7474079684176,verde
193,586.3360608843926,verde
194,591.1179154899897,verde
195,588.0985220327154,verde
196,589.9006742243023,verde
197,588.9532496124958,verde
198,590.5581668957941,verde
199,603.3511222046203,verde
